Sample Age,Paleocoordinate Age,Paleo-Lat,Paleo-Lon,Lat,Lon,"Temperature,C",Min Temp,Max Temp,Area
138.3339195,Berriasian-Valanginian,21.3616009,-28.8386002,28.35,-75.38333333,36.77355647,,,Atlantic Ocean
138.4981712,Berriasian-Valanginian,21.3616009,-28.8386002,28.35,-75.38333333,36.41293375,,,Atlantic Ocean
138.862963,Berriasian-Valanginian,21.3616009,-28.8386002,28.35,-75.38333333,36.09635901,,,Atlantic Ocean
139.1093407,Berriasian-Valanginian,21.3616009,-28.8386002,28.35,-75.38333333,35.7202665,,,Atlantic Ocean
139.4219284,Berriasian-Valanginian,21.3616009,-28.8386002,28.35,-75.38333333,36.20760431,,,Atlantic Ocean
139.556895,Berriasian-Valanginian,21.3616009,-28.8386002,28.35,-75.38333333,35.56579091,,,Atlantic Ocean
139.6029963,Berriasian-Valanginian,21.3616009,-28.8386002,28.35,-75.38333333,35.72988847,,,Atlantic Ocean
134.8757117,Berriasian-Valanginian,-43.8181,69.5365982,-19.93333333,110.45,25.89152344,,,Indian Ocean
135.32046,Berriasian-Valanginian,-43.8181,69.5365982,-19.93333333,110.45,25.47001111,,,Indian Ocean
135.836745,Berriasian-Valanginian,-43.8181,69.5365982,-19.93333333,110.45,26.4356366,,,Indian Ocean
137.89,Berriasian-Valanginian,-47.3466988,1.60491,-29.95,36.08333333,28.32020652,,,Indian Ocean
137.89,Berriasian-Valanginian,-47.3466988,1.60491,-29.95,36.08333333,24.15654904,,,Indian Ocean
137.89,Berriasian-Valanginian,-47.3466988,1.60491,-29.95,36.08333333,24.54144926,,,Indian Ocean
137.89,Berriasian-Valanginian,-47.3466988,1.60491,-29.95,36.08333333,23.2445532,,,Indian Ocean
137.89,Berriasian-Valanginian,-47.3466988,1.60491,-29.95,36.08333333,22.98147441,,,Indian Ocean
137.89,Berriasian-Valanginian,-47.3466988,1.60491,-29.95,36.08333333,23.26698437,,,Indian Ocean
135.08,Berriasian-Valanginian,-48.6553001,-8.1225004,-70.71666667,-13.81666667,29.80699845,,,Southern Ocean
135.08,Berriasian-Valanginian,-48.6553001,-8.1225004,-70.71666667,-13.81666667,29.01826952,,,Southern Ocean
135.08,Berriasian-Valanginian,-48.6553001,-8.1225004,-70.71666667,-13.81666667,29.31329295,,,Southern Ocean
135.08,Berriasian-Valanginian,-48.6553001,-8.1225004,-70.71666667,-13.81666667,28.61846103,,,Southern Ocean
135.08,Berriasian-Valanginian,-48.6553001,-8.1225004,-70.71666667,-13.81666667,27.49071111,,,Southern Ocean
135.08,Berriasian-Valanginian,-48.6553001,-8.1225004,-70.71666667,-13.81666667,27.68879972,,,Southern Ocean
135.08,Berriasian-Valanginian,-48.6553001,-8.1225004,-70.71666667,-13.81666667,27.68791759,,,Southern Ocean
135.08,Berriasian-Valanginian,-48.6553001,-8.1225004,-70.71666667,-13.81666667,27.0938061,,,Southern Ocean
135.08,Berriasian-Valanginian,-48.6553001,-8.1225004,-70.71666667,-13.81666667,27.79321862,,,Southern Ocean
135.08,Berriasian-Valanginian,-48.6553001,-8.1225004,-70.71666667,-13.81666667,29.48878299,,,Southern Ocean
135.08,Berriasian-Valanginian,-48.6553001,-8.1225004,-70.71666667,-13.81666667,29.11908022,,,Southern Ocean
135.08,Berriasian-Valanginian,-48.6553001,-8.1225004,-70.71666667,-13.81666667,29.88259307,,,Southern Ocean
134.8,Berriasian-Valanginian,37.9323997,15.2063999,46.8179,6.45812,14.2,,,Europe
136.2,Berriasian-Valanginian,35.6936989,13.6040001,44.637477,4.481598,19.3,,,Europe
136.2,Berriasian-Valanginian,41.4763985,12.8969002,50.437848,4.011832,17.8,,,Europe
136.2,Berriasian-Valanginian,34.9855995,12.9982004,43.948908,3.753666,20.9,,,Europe
136.2,Berriasian-Valanginian,34.9855995,12.9982004,43.948908,3.753666,21.3,,,Europe
136.2,Berriasian-Valanginian,37.8871994,15.2160997,46.772385,6.466136,24.4,,,Europe
136.2,Berriasian-Valanginian,34.9855995,12.9982004,43.948908,3.753666,20.4,,,Europe
136.2,Berriasian-Valanginian,34.9855995,12.9982004,43.948908,3.753666,20.4,,,Europe
136.2,Berriasian-Valanginian,34.9855995,12.9982004,43.948908,3.753666,17.4,,,Europe
136.2,Berriasian-Valanginian,34.9855995,12.9982004,43.948908,3.753666,24.8,,,Europe
138,Berriasian-Valanginian,7.5739498,29.9902992,30.7,35.1,31.45,,,Asia
138,Berriasian-Valanginian,31.1298008,10.3080997,41.05,1.45,31.45,,,Europe
132.85,Berriasian-Valanginian,30.1149006,25.7085991,47.5,18.5,,22,40,Europe
137.05,Berriasian-Valanginian,42.0140991,9.76478,51.056996,0.350265571,13.3,,,Europe
131,Berriasian-Valanginian,43.594799,138.6239929,36.149704,136.751537,10,,,Asia
131.9,Berriasian-Valanginian,15.0122004,109.387001,17.29287467,103.4416597,19,,,Asia
135.1,Berriasian-Valanginian,28.1306,27.7942009,47.018356,22.40541,,22,40,Europe
135.1,Berriasian-Valanginian,28.8570995,24.4822998,45.85192,18.394399,,22,40,Europe
135.55,Berriasian-Valanginian,58.1236,66.1787033,61.232917,70.313213,,-1.6,40,Asia
135.1,Berriasian-Valanginian,57.9980011,66.9072037,61,71,,-1.6,40,Asia
135.1,Berriasian-Valanginian,69.2497025,15.6033001,78,14,,-1.6,40,Europe
135.1,Berriasian-Valanginian,-70.0772018,85.4533005,-29.7840684,138.8034192,,-15,3,Oceania
134,Berriasian-Valanginian,12.9807,108.786,15.91522,101.76897,17,,,Asia
138,Berriasian-Valanginian,12.9768,108.79,15.91001,101.76983,19,,,Asia
142.2,Berriasian-Valanginian,13.1594,108.673,16.12502,101.77469,17,,,Asia
142.2,Berriasian-Valanginian,13.1594,108.673,16.12502,101.77469,22,,,Asia
142.2,Berriasian-Valanginian,13.1594,108.673,16.12502,101.77469,13,,,Asia
134.9381238,Berriasian-Valanginian,35.1968,15.152,44.08736375,6.214398,14.29788346,,,Europe
135.1416479,Berriasian-Valanginian,35.1968,15.152,44.08736375,6.214398,14.64373174,,,Europe
